100;165;Карта UnionPay;CNY UnionPay;156;3;10001011100110111100000010001100000000000000000000000000011010000000001110001110000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000010010000000000000000000001000000
101;192;Contact USD;USD Contact;840;4;10000010000000100000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
102;171;Любой банк UAH;UAH Банк;980;3;11111111110111111111111111111111111111111111111111000011011111100011111111111110000111000000000000001110000000000111001001111111111111011111111011111111010011001101110010101001010000010000000000000001111000
103;101;Payoneer;USD Payoneer;840;1;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
104;36;ICON (ICX);ICX;110;0;11111111110111111111111111111111111111111111110100000000011111100111101111101110000111000000000010000001000001000111111101111111110111011111111111111111110000001001000111111001000000000010000111111001110000
105;119;Тинькофф;RUB Тинькофф;643;3;11111111110111111111111111111111111111111111111111000000011111100011111111111111100111110001110000001110010001000010000000000000011101011111111000001111000111001100110000100001110000010000000000000001000000
106;193;Contact RUB;RUB Contact;643;4;10000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
107;195;Золотая Корона RUB;RUB ЗолКорона;643;4;00000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
108;77;Payeer USD;USD Payeer;840;1;11111111110111111111111111111111111111111111111111100001011111100111111111111111101111111001111110001110011001000011111111111111111111011111111111111111110111011101111111111011111001110110000111111111111100
109;93;NixMoney USD;USD NixMoney;840;1;11001011110111110000000000000100000000000000000100000001011000100100001110001110001011000000010100000100000000000011001001001110101000011111100011110101010001000000000010001000000000000000000011000001000000
110;64;QIWI USD;USD QIWI;840;1;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
111;154;Visa/MasterCard KZT;KZT Карта;398;3;11001111110111111111000110011101001000000100000110001000011011100100001111101110000011000000110100000100000000000000000000000000000100000000000011100000000000000000000000000000010000000000000000000000000000
112;95;GlobalMoney;UAH GM;980;1;11001111110110111100010110001110001000000000100100000000011111100100001111101110000011000000000000001110000000000011001001011101011111011111101111111111110011001001000010111001000000000000000000000000001000
113;173;Любой банк KZT;KZT Банк;398;3;11001111110111110010000110001100001000000000000110001000011011100100001111101110000011000000110100000100000000000011001001101101000100011100101011110101010000000001000010000000000000000000000000000000000000
114;146;Сбербанк KZT;KZT Сбербанк;398;3;11001111110111111110000110001100001000000000000110001000011011100100001111101110000011000000110100000100000000000000000000000000000100000000000010100000000000000000100000000000010000000000000000000000000000
115;10;Dogecoin (DOGE);DOGE;996;0;11111111110111111111111111111111111111111111111111000000011111100111111111111110001111000000000000001111000001000111111111111111111111011111111111111111110111001101110111111001110001110010000111111111111100
116;194;Золотая Корона USD;USD ЗолКорона;840;4;10001010000001000000000000000000000000000000000100000000011000000100001110001100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
